name,title,license,formats,num_resources,metadata_modified,url
geoportal-granice-dopustenog-drzanja-domacih-zivotinja,Geoportal granice dopuštenog držanja domaćih životinja,Otvorena dozvola (OD),CSV|GDB|GEOJSON|KML|SHP,5,2024-02-28T09:36:18.888397,https://data.zagreb.hr/dataset/geoportal-granice-dopustenog-drzanja-domacih-zivotinja
geoportal-granice-opcine-1981,Geoportal granice općine 1981.,Otvorena dozvola (OD),CSV|FGDB|GEOJSON|KML|SHP,5,2024-02-06T14:06:39.613040,https://data.zagreb.hr/dataset/geoportal-granice-opcine-1981
geoportal-javna-igralista,Geoportal javna sportska igrališta,Otvorena dozvola (OD),CSV|FGDB|GEOJSON|KML|SHP,5,2024-02-06T14:04:15.350922,https://data.zagreb.hr/dataset/geoportal-javna-igralista
geoportal-javna-parkiralista-za-bicikle,Geoportal Javna parkirališta za bicikle,Otvorena dozvola (OD),CSV|GDB|GEOJSON|KML|SHP,5,2024-02-28T09:32:24.916185,https://data.zagreb.hr/dataset/geoportal-javna-parkiralista-za-bicikle
geoportal-javne-garaze,Geoportal Javne garaže,Otvorena dozvola (OD),CSV|GDB|GEOJSON|KML|SHP,5,2024-02-28T09:39:24.694315,https://data.zagreb.hr/dataset/geoportal-javne-garaze
geoportal-javne-povrsine-za-pse,Geoportal Javne površine za pse,Otvorena dozvola (OD),CSV|GEOJSON|KML|SHP,4,2024-02-06T14:06:30.680842,https://data.zagreb.hr/dataset/geoportal-javne-povrsine-za-pse
geoportal-kultura,Geoportal kultura,Otvorena dozvola (OD),CSV|FGDB|GEOJSON|KML|SHP,5,2024-02-06T14:07:56.044368,https://data.zagreb.hr/dataset/geoportal-kultura
geoportal-kulturne-ustanove,Geoportal Kulturne ustanove,Otvorena dozvola (OD),CSV|GDB|GEOJSON|KML|SHP,5,2024-02-28T09:39:10.649287,https://data.zagreb.hr/dataset/geoportal-kulturne-ustanove
geoportal-kvaliteta-zraka,Geoportal Kvaliteta zraka,Otvorena dozvola (OD),CSV|GEOJSON|KML|SHP,4,2024-02-06T14:04:07.122402,https://data.zagreb.hr/dataset/geoportal-kvaliteta-zraka
geoportal-ljekarne,Geoportal Ljekarne,Otvorena dozvola (OD),CSV|GDB|GEOJSON|KML|SHP,5,2024-02-28T09:35:23.983772,https://data.zagreb.hr/dataset/geoportal-ljekarne
geoportal-mjesna-samouprava,Geoportal Mjesna samouprava,Otvorena dozvola (OD),CSV|GDB|GEOJSON|KML|SHP,5,2024-02-28T09:34:59.427639,https://data.zagreb.hr/dataset/geoportal-mjesna-samouprava
geoportal-nacionalne-manjine,Geoportal nacionalne manjine,Otvorena dozvola (OD),CSV|FGDB|GEOJSON|KML|SHP,5,2024-02-06T14:08:05.499650,https://data.zagreb.hr/dataset/geoportal-nacionalne-manjine
geoportal-nadlezna-institucija,Geoportal nadležna institucija,Otvorena dozvola (OD),CSV|FGDB|GEOJSON|KML|SHP,5,2024-02-06T14:03:29.912817,https://data.zagreb.hr/dataset/geoportal-nadlezna-institucija
geoportal-nadzorne-kamere,Geoportal Nadzorne kamere,Otvorena dozvola (OD),CSV|GDB|GEOJSON|KML|SHP,5,2024-02-28T09:27:18.397495,https://data.zagreb.hr/dataset/geoportal-nadzorne-kamere
geoportal-odmorko,Geoportal Odmorko,Otvorena dozvola (OD),CSV|GDB|GEOJSON|KML|SHP,5,2024-02-28T09:26:59.242313,https://data.zagreb.hr/dataset/geoportal-odmorko
geoportal-osnovne-skole,Geoportal Osnovne škole,Otvorena dozvola (OD),CSV|GDB|GEOJSON|KML|SHP,5,2024-02-28T09:38:54.917474,https://data.zagreb.hr/dataset/geoportal-osnovne-skole
geoportal-ostale-djelatnosti-socijalne-skrbi,Geoportal Ostale djelatnosti socijalne skrbi,Otvorena dozvola (OD),CSV|GEOJSON|KML|SHP|XLSX,5,2024-10-29T07:43:03.349313,https://data.zagreb.hr/dataset/geoportal-ostale-djelatnosti-socijalne-skrbi
geoportal-pjesacka-zona,Geoportal pješačka zona,Otvorena dozvola (OD),CSV|FGDB|GEOJSON|KML|SHP,5,2025-03-07T09:19:54.114427,https://data.zagreb.hr/dataset/geoportal-pjesacka-zona
geoportal-planirana-namjena-2023,Geoportal planirana namjena 2023,Otvorena dozvola (OD),CSV|GEOJSON|KML|SHP|XLSX,5,2024-09-13T12:57:54.879590,https://data.zagreb.hr/dataset/geoportal-planirana-namjena-2023
geoportal-podrucni-odsjeci,Geoportal Područni odsjeci,Otvorena dozvola (OD),CSV|GEOJSON|KML|SHP|XLSX,5,2024-09-16T10:21:33.295539,https://data.zagreb.hr/dataset/geoportal-podrucni-odsjeci
geoportal-podrucni-uredi,Geoportal Područni uredi,Otvorena dozvola (OD),CSV|GDB|GEOJSON|KML|SHP,5,2024-02-28T09:30:56.238637,https://data.zagreb.hr/dataset/geoportal-podrucni-uredi
geoportal-policija,Geoportal policija,Otvorena dozvola (OD),CSV|GEOJSON|KML|SHP,4,2024-02-06T14:03:57.908967,https://data.zagreb.hr/dataset/geoportal-policija
geoportal-program-zastite-divljaci,Geoportal program zaštite divljači,Otvorena dozvola (OD),CSV|FGDB|GEOJSON|KML|SHP,5,2024-02-28T09:24:43.414623,https://data.zagreb.hr/dataset/geoportal-program-zastite-divljaci
geoportal-reklamne-zone,Geoportal reklamne zone,Otvorena dozvola (OD),CSV|GEOJSON|KML|SHP|XLSX,5,2024-09-16T10:43:18.389818,https://data.zagreb.hr/dataset/geoportal-reklamne-zone
geoportal-sjedista-gradskih-cetvrti,Geoportal Sjedišta gradskih četvrti,Otvorena dozvola (OD),CSV|GDB|GEOJSON|KML|SHP,5,2024-02-28T09:36:01.847144,https://data.zagreb.hr/dataset/geoportal-sjedista-gradskih-cetvrti
geoportal-smjestajni-objekti,Geoportal Smještajni objekti,Otvorena dozvola (OD),CSV|GEOJSON|KML|SHP|XLSX,5,2024-09-17T12:13:13.136690,https://data.zagreb.hr/dataset/geoportal-smjestajni-objekti
geoportal-sportski-objekti,Geoportal Sportski objekti,Otvorena dozvola (OD),CSV|GDB|GEOJSON|KML|SHP,5,2024-02-06T14:00:55.087141,https://data.zagreb.hr/dataset/geoportal-sportski-objekti
geoportal-srednje-skole,Geoportal Srednje škole,Otvorena dozvola (OD),CSV|GDB|GEOJSON|KML|SHP,5,2024-02-06T13:59:53.535642,https://data.zagreb.hr/dataset/geoportal-srednje-skole
geoportal-studentska-naselja,Geoportal Studentska naselja,Otvorena dozvola (OD),CSV|GDB|GEOJSON|KML|SHP,5,2024-02-06T13:52:32.901441,https://data.zagreb.hr/dataset/geoportal-studentska-naselja
geoportal-studentski-restoran,Geoportal Studentski restoran,Otvorena dozvola (OD),GEOJSON,1,2026-07-30T07:32:01.847147,https://data.zagreb.hr/dataset/geoportal-studentski-restoran
geoportal-studentsko-naselje,Geoportal Studentsko naselje,Otvorena dozvola (OD),GEOJSON,1,2026-07-30T07:24:23.521772,https://data.zagreb.hr/dataset/geoportal-studentsko-naselje
geoportal-sustav-javnih-bicikala,Geoportal Sustav javnih bicikala,Otvorena dozvola (OD),CSV|GDB|GEOJSON|KML|SHP,5,2024-02-28T09:32:04.168739,https://data.zagreb.hr/dataset/geoportal-sustav-javnih-bicikala
geoportal-taxi-stajalista,Geoportal taxi stajališta,Otvorena dozvola (OD),CSV|FGDB|GEOJSON|KML|SHP,5,2024-02-28T09:25:08.591940,https://data.zagreb.hr/dataset/geoportal-taxi-stajalista
geoportal-tijela-drzavne-uprave,Geoportal Tijela državne uprave,Otvorena dozvola (OD),CSV|GDB|GEOJSON|KML|SHP,5,2024-02-06T13:46:23.279654,https://data.zagreb.hr/dataset/geoportal-tijela-drzavne-uprave
geoportal-tramvajska-stajalista-zet,Geoportal Tramvajska stajališta ZET,Otvorena dozvola (OD),CSV|GDB|GEOJSON|KML|SHP,5,2024-02-06T14:00:45.565695,https://data.zagreb.hr/dataset/geoportal-tramvajska-stajalista-zet
geoportal-ucenicki-domovi,Geoportal Učenički domovi,Otvorena dozvola (OD),CSV|GDB|GEOJSON|KML|SHP,5,2024-02-06T14:00:35.318759,https://data.zagreb.hr/dataset/geoportal-ucenicki-domovi
geoportal-urbanisticka-dokumentacija-1985,Geoportal urbanistička dokumentacija 1985.,Otvorena dozvola (OD),CSV|GEOJSON|KML|SHP,4,2024-02-06T13:58:16.417043,https://data.zagreb.hr/dataset/geoportal-urbanisticka-dokumentacija-1985
geoportal-urbanisticka-dokumentacija-1995,Geoportal urbanistička dokumentacija 1995.,Otvorena dozvola (OD),CSV|FGDB|GEOJSON|KML|SHP,5,2024-02-28T09:25:40.002315,https://data.zagreb.hr/dataset/geoportal-urbanisticka-dokumentacija-1995
geoportal-urbanisticki-planovi-uredenja,Geoportal Urbanistički planovi uređenja,Otvorena dozvola (OD),CSV|GDB|GEOJSON|KML|SHP,5,2024-02-06T14:00:26.003058,https://data.zagreb.hr/dataset/geoportal-urbanisticki-planovi-uredenja
