dataset_naslov,dataset_name,format,resurs,url,zadnja_izmjena
Geoportal Odmorko,geoportal-odmorko,CSV,Geoportal Odmorko,https://opendata.arcgis.com/api/v3/datasets/0a671e4943634d42930ba9c0648a9ddb_0/downloads/data?format=csv&spatialRefId=4326&where=1%3D1,2022-07-14
Geoportal Odmorko,geoportal-odmorko,GEOJSON,Geoportal Odmorko,https://opendata.arcgis.com/api/v3/datasets/0a671e4943634d42930ba9c0648a9ddb_0/downloads/data?format=geojson&spatialRefId=4326&where=1%3D1,2023-01-17
Geoportal Osnovne škole,geoportal-osnovne-skole,CSV,Geoportal Osnovne škole,https://opendata.arcgis.com/api/v3/datasets/08ff18612cea48a1b1bdb921a83974bc_0/downloads/data?format=csv&spatialRefId=4326&where=1=1,2022-07-14
Geoportal Osnovne škole,geoportal-osnovne-skole,GEOJSON,Geoportal Osnovne škole,https://opendata.arcgis.com/api/v3/datasets/08ff18612cea48a1b1bdb921a83974bc_0/downloads/data?format=geojson&spatialRefId=4326&where=1%3D1,2023-01-17
Geoportal Ostale djelatnosti socijalne skrbi,geoportal-ostale-djelatnosti-socijalne-skrbi,CSV,Geoportal Ostale djelatnosti socijalne skrbi,https://services8.arcgis.com/Usi0jGQwMmBUpFjr/arcgis/rest/services/Geoportal_ostale_djelatnosti_socijalne_skrbi/FeatureServer/replicafilescache/Geoportal_ostale_djelatnosti_socijalne_skrbi_1105901168366997139.csv,2022-07-14
Geoportal Ostale djelatnosti socijalne skrbi,geoportal-ostale-djelatnosti-socijalne-skrbi,GEOJSON,Geoportal Ostale djelatnosti socijalne skrbi,https://services8.arcgis.com/Usi0jGQwMmBUpFjr/arcgis/rest/services/Geoportal_ostale_djelatnosti_socijalne_skrbi/FeatureServer/replicafilescache/Geoportal_ostale_djelatnosti_socijalne_skrbi_-2781268371483281578.geojson,2023-01-17
Geoportal Područni odsjeci,geoportal-podrucni-odsjeci,CSV,Geoportal Područni odsjeci,https://services8.arcgis.com/Usi0jGQwMmBUpFjr/arcgis/rest/services/PO/FeatureServer/replicafilescache/PO_702443215757626437.csv,2024-09-16
Geoportal Područni odsjeci,podrucni_odsjeci,GEOJSON,Geoportal Područni odsjeci,https://data.zagreb.hr/dataset/cd02efb2-6f70-40a3-b730-69d1d3b2f450/resource/79350775-8963-44a7-a09e-e061e36b71f2/download/data.geojson,2026-08-27
Geoportal Područni odsjeci,geoportal-podrucni-odsjeci,GEOJSON,Geoportal Područni odsjeci,https://services8.arcgis.com/Usi0jGQwMmBUpFjr/arcgis/rest/services/PO/FeatureServer/replicafilescache/PO_-7066151195297644305.geojson,2024-09-16
Geoportal Područni uredi,geoportal-podrucni-uredi,CSV,Geoportal Područni uredi,https://opendata.arcgis.com/api/v3/datasets/ab488f0b14b54acaaa0b29d35c9af626_0/downloads/data?format=csv&spatialRefId=4326&where=1%3D1,2022-07-14
